正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
行者再為從事犯罪,1,,行者再為從事犯罪
行使偽造公文書罪,1,,行使偽造公文書罪
行已達洗錢罪,1,,行已達洗錢罪
罪集團遂行詐欺犯罪,1,是,罪集團遂行詐欺犯罪
同種幫助詐欺取財及幫助洗錢罪,1,,同種幫助詐欺取財及幫助洗錢罪
上開6幫助詐欺取財罪,1,,上開6幫助詐欺取財罪
上開3次幫助詐欺取財罪,1,,上開3次幫助詐欺取財罪
明知為不實事項而使公務員登載於執掌公文書罪,1,,明知為不實事項而使公務員登載於執掌公文書罪
他人逃漏稅捐等罪,1,,幫助他人逃漏稅捐等罪
毀越門窗侵入住宅罪,1,,毀越門窗侵入住宅罪
在公共場所未經許可攜帶刀械罪,1,,在公共場所未經許可攜帶刀械罪
罪組織之犯意（黃瑋杰所犯參與犯罪,1,是,罪組織之犯意（黃瑋杰所犯參與犯罪
、第2款之三人以上共同冒用政府機關及公務員名義詐欺取財罪,1,,刑法第339條之4第1項第1款、第2款之三人以上共同冒用政府機關及公務員名義詐欺取財罪
附表編號1、2所示犯行犯罪,1,是,附表編號1、2所示犯行犯罪
罪所得：（1）按犯罪,1,是,罪所得：（1）按犯罪
攜帶兇器踰越門窗竊盜罪,1,,攜帶兇器踰越門窗竊盜未遂罪
寄藏贓物罪,1,,侵占離本人持有物罪及同法第349條第1項之寄藏贓物罪
對醫事人員以恐嚇之方法妨害其執行醫療業務罪,1,,醫療法第一○六條第三項之對醫事人員以恐嚇之方法妨害其執行醫療業務罪
無正當理由提供三個以上帳戶予他人使用罪,1,,無正當理由提供三個以上帳戶予他人使用罪
無正當理由而交付、提供合計三個以上帳戶罪,1,,洗錢防制法第二十二條第三項之無正當理由而交付、提供合計三個以上帳戶罪
三人以上共同以網際網路對公眾詐欺取財罪,1,,三人以上共同以網際網路對公眾詐欺取財罪
違背公務員依法所發具扣押效力命令之行為罪,1,,違背公務員依法所發具扣押效力命令之行為罪
持有第一級毒品純質淨重10公克以上罪,1,,持有第一級毒品純質淨重10公克以上罪
竊盜罪2罪,1,,竊盜罪2罪
成年人與少年共犯三人以上共同詐欺取財罪,1,,成年人與少年共犯三人以上共同詐欺取財罪
行所犯上開組織犯罪,1,,行所犯上開組織犯罪
行上開犯罪,1,,行上開犯罪
後於偵查中及本院準備程序、審判期日均自白洗錢、參與犯罪,1,,後於偵查中及本院準備程序、審判期日均自白洗錢、參與犯罪
罪事實：1、第1頁第1至8行：邱建誠基於參與犯罪,1,是,罪事實：1、第1頁第1至8行：邱建誠基於參與犯罪
以廣播電視、電子通訊、網際網路或其他媒體等傳播工具對公眾散布而共犯詐欺取財罪,1,,刑法第339條之4第1項第3款之以廣播電視、電子通訊、網際網路或其他媒體等傳播工具對公眾散布而共犯詐欺取財罪
行所犯上開行使偽造私文書、三人以上共同詐欺取財及洗錢罪,1,,行所犯上開行使偽造私文書、三人以上共同詐欺取財及洗錢罪
侵入住宅強制性交罪,1,,侵入住宅強制性交罪
加重詐欺取財罪等罪,1,,加重詐欺取財罪等罪
罪事實：1、第1頁第1至5行：吳哲汎基於參與犯罪,1,是,罪事實：1、第1頁第1至5行：吳哲汎基於參與犯罪
普通賭博罪,1,,前段之普通賭博罪
第l項前段之指揮犯罪組織罪,1,,第l項前段之指揮犯罪組織罪
持有第三級毒品純質淨重合計5公克以上罪,1,,持有第三級毒品純質淨重合計5公克以上罪
如本院附表二「罪,1,是,如本院附表二「罪
無故入侵他人電腦相關設備及同法第359條無故變更他人電腦相關設備電磁紀錄罪,1,,刑法第358條無故入侵他人電腦相關設備及同法第359條無故變更他人電腦相關設備電磁紀錄罪
在公眾得出入之場所聚集三人以上施強暴脅迫之首謀罪,1,,在公眾得出入之場所聚集三人以上施強暴脅迫之首謀罪
罪事實及證據名稱部分補充如下：（一）犯罪,1,是,罪事實及證據名稱部分補充如下：（一）犯罪
在公眾得出入之場所聚集三人以上施強暴、在場助勢之首謀罪,1,,刑法第150條第1項後段之在公眾得出入之場所聚集三人以上施強暴、在場助勢之首謀罪
同條第2項之持有第二級毒品罪,1,,持有第一級毒品純質淨重十公克以上罪及同條第2項之持有第二級毒品罪
規定之非公務機關非法利用個人資料罪,1,,違反同法第20條第1項規定之非公務機關非法利用個人資料罪
罪事實：1、第1行：（談智浩參與犯罪,1,是,罪事實：1、第1行：（談智浩參與犯罪
罪危害防制條例之詐欺犯罪,1,是,罪危害防制條例之詐欺犯罪
後於偵查、本院準備程序、審判期日均自白詐欺犯罪,1,,後於偵查、本院準備程序、審判期日均自白詐欺犯罪
前4條（即修正後洗錢防制法第19至22條）之罪,1,,前4條（即修正後洗錢防制法第19至22條）之罪
後於偵查中及本院準備程序、審判期日均就其所犯洗錢罪,1,,後於偵查中及本院準備程序、審判期日均就其所犯洗錢罪
之洗錢罪,1,,之洗錢罪
法條欄雖未記載被告並犯有組織犯罪,1,,法條欄雖未記載被告並犯有組織犯罪
意圖供行使之用而攜帶兇器在公眾得出入之場所聚集三人以上首謀施強暴罪,1,,意圖供行使之用而攜帶兇器在公眾得出入之場所聚集三人以上首謀施強暴罪
意圖供行使之用而攜帶兇器在公眾得出入之場所聚集三人以上下手實施強暴罪,1,,意圖供行使之用而攜帶兇器在公眾得出入之場所聚集三人以上下手實施強暴罪
意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上施強暴在場助勢罪,1,,意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上施強暴在場助勢罪
毀損公務員職務上掌管之文書罪,1,,毀損公務員職務上掌管之文書罪
損壞公務員職務上掌管之文書罪,1,,損壞公務員職務上掌管之文書罪
在公共場所聚集三人以上下手施強暴罪,1,,在公共場所聚集三人以上下手施強暴罪
無故變更他人電腦之電磁紀錄罪,1,,無故變更他人電腦之電磁紀錄罪
毀壞其他安全設備竊盜罪,1,,毀壞其他安全設備竊盜罪
如附表五編號8至23所示之拾陸罪,1,是,如附表五編號8至23所示之拾陸罪
如附表五編號1至23所示之貳拾參罪,1,是,如附表五編號1至23所示之貳拾參罪
罪所用之物」欄所示之物、犯罪,1,是,罪所用之物」欄所示之物、犯罪
如附表四編號1至3所示之參罪,1,是,如附表四編號1至3所示之參罪
而犯同法第14條第1項之一般洗錢罪,1,,詐欺取財罪及違反洗錢防制法第2條第2款而犯同法第14條第1項之一般洗錢罪
規定而犯持有第三級毒品純質淨重五公克以上罪,1,,規定而犯持有第三級毒品純質淨重五公克以上罪
交付、提供合計三個以上帳戶罪,1,,洗錢防制法第二十二條第三項第二款之交付、提供合計三個以上帳戶罪
意圖營利而媒介外國人非法為他人工作罪,1,,就業服務法第六十四條第二項之意圖營利而媒介外國人非法為他人工作罪
詐欺取財等罪,1,,竊盜及同法第339條第1項之詐欺取財等罪
申報及公告不實罪,1,,證券交易法第一百七十一條第一項第一款之申報及公告不實罪
附表Ａ編號一所示之罪,1,是,附表Ａ編號一所示之罪
附表Ａ編號二所示之罪,1,是,附表Ａ編號二所示之罪
附表Ａ編號三所示之罪,1,是,附表Ａ編號三所示之罪
附表Ａ編號四所示之罪,1,是,附表Ａ編號四所示之罪
附表Ａ編號五所示之罪,1,是,附表Ａ編號五所示之罪
附表Ａ編號六所示之罪,1,是,附表Ａ編號六所示之罪
附表Ａ編號七所示之罪,1,是,附表Ａ編號七所示之罪
附表Ａ編號八所示之罪,1,是,附表Ａ編號八所示之罪
使公務員登載不實罪,1,,使公務員登載不實罪
三人以上共同以網際網路對公眾散布犯詐欺取財罪,1,,三人以上共同以網際網路對公眾散布犯詐欺取財罪
規定從一重之竊盜罪,1,,規定從一重之竊盜罪
侵入他人建築物罪,1,,侵入他人建築物罪
散布少年為猥褻行為之電子訊號罪,1,,散布少年為猥褻行為之電子訊號罪
利用電腦設備詐欺取財罪,1,,利用電腦設備詐欺取財罪
駕駛動力交通工具實施強暴妨害公務執行罪,1,,駕駛動力交通工具實施強暴妨害公務執行罪
、第三款之不能安全駕駛動力交通工具罪,1,,刑法第一八五條之三第一項第一款、第三款之不能安全駕駛動力交通工具罪
失火燒燬他人物品罪,1,,失火燒燬他人物品罪
失火燒燬現有人所在之建築物罪,1,,失火燒燬現有人所在之建築物罪
窺視身體隱私部位罪,1,,窺視身體隱私部位罪
成年人故意傷害兒童致死罪,1,,前段及刑法第277條第2項之成年人故意傷害兒童致死罪
妨害自由而凌虐致人於死罪,1,,妨害自由而凌虐致人於死罪
所規範之詐欺犯罪,1,,罪條例第2條第1項所規範之詐欺犯罪
、第212條之行使偽造特重文書罪,1,,有刑法第210條、第212條之行使偽造特重文書罪
罪危害防制條例規定：犯詐欺犯罪,1,是,罪危害防制條例規定：犯詐欺犯罪
後就其所犯洗錢罪,1,,後就其所犯洗錢罪
洗錢、參與犯罪,1,,洗錢、參與犯罪
結夥三人共同竊盜罪,1,,結夥三人共同竊盜罪
意圖使公務員執行一定之職務而施強暴脅迫罪,1,,意圖使公務員執行一定之職務而施強暴脅迫罪
罪所得新臺幣捌拾玖萬元、潘進甫未扣案之犯罪,1,是,罪所得新臺幣捌拾玖萬元、潘進甫未扣案之犯罪
三人以上共同犯詐欺取罪,1,,三人以上共同犯詐欺取罪及洗錢防制法第19條第1項之一般洗錢罪
無正當理由期約對價提供三個以上帳戶予他人使用罪,1,,無正當理由期約對價提供三個以上帳戶予他人使用罪
第277條第1項之傷害罪,1,,毀損他人物品罪及第277條第1項之傷害罪
運輸第二級毒品而混合二種以上毒品罪,1,,運輸第二級毒品而混合二種以上毒品罪
如附表編號1至3、10至20「罪,1,是,如附表編號1至3、10至20「罪
行時點密接且犯罪,1,,行時點密接且犯罪
之實質上一罪,1,,之實質上一罪
罪動機、犯罪,1,是,罪動機、犯罪
罪組織之犯意（張雅雲所犯參與犯罪,1,是,罪組織之犯意（張雅雲所犯參與犯罪
罪事實：1、第1頁第1行：（邱伯宣所犯參與犯罪,1,是,罪事實：1、第1頁第1行：（邱伯宣所犯參與犯罪
第第1項第2款之3人以上共犯詐欺取財罪,1,,刑法第339條之4第第1項第2款之3人以上共犯詐欺取財罪
行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財及洗錢罪,1,,行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財及洗錢罪
罪集團組織（李風錡參與犯罪,1,是,罪集團組織（李風錡參與犯罪
：犯詐欺犯罪,1,,罪危害防制條例第47條：犯詐欺犯罪
行確實獲有犯罪,1,,行確實獲有犯罪
後於偵查中及本院準備程序、審判期日均自白洗錢罪,1,,後於偵查中及本院準備程序、審判期日均自白洗錢罪
罪事實：1、第1頁第1行：（黃則惟參與犯罪,1,是,罪事實：1、第1頁第1行：（黃則惟參與犯罪
上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪,1,,上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪
後未繳交犯罪,1,,後未繳交犯罪
同條項第3款特別背信罪,1,,不合營業常規交易罪及同條項第3款特別背信罪
附表一編號1至3「罪,1,是,附表一編號1至3「罪
附表一編號1及2「罪,1,是,附表一編號1及2「罪
未經許可於公眾得出入之場所攜帶刀械罪,1,,未經許可於公眾得出入之場所攜帶刀械罪
輸入私菸罪,1,,輸入私菸罪
尿液所含毒品之代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪,1,,尿液所含毒品之代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪
指揮犯罪,1,,指揮犯罪
散布兒童或少年性影像罪,1,,散布兒童或少年性影像罪
無正當理由持有兒童或少年性影像罪,1,,無正當理由持有兒童或少年性影像罪
散布兒童或少年之性影像罪,1,,散布兒童或少年之性影像罪
行使變造準特種文書罪,1,,行使變造準特種文書罪
3人以上共同剝奪他人行動自由罪,1,,3人以上共同剝奪他人行動自由罪
、第1項之以網際網路賭博財物罪,1,,刑法第266條第2項、第1項之以網際網路賭博財物罪
圖利媒介猥褻罪,1,,圖利媒介猥褻罪
罪事實：1、第1頁第1至3行：陳彥羽基於參與犯罪,1,是,罪事實：1、第1頁第1至3行：陳彥羽基於參與犯罪
加重詐欺取財等罪,1,,加重詐欺取財等罪
罪組織集團（陳彥羽參與犯罪,1,是,罪組織集團（陳彥羽參與犯罪
附表編號1、2所示之洗錢罪,1,是,附表編號1、2所示之洗錢罪
附表編號3「罪,1,是,附表編號3「罪
罪事實：1、第1頁第1至3行：張嘉富（暱稱Aka小老虎）、張黃凱謙（暱稱高斯小凱刺青）均基於參與犯罪,1,是,罪事實：1、第1頁第1至3行：張嘉富（暱稱Aka小老虎）、張黃凱謙（暱稱高斯小凱刺青）均基於參與犯罪
本件3人以上共犯詐欺取財罪,1,,本件3人以上共犯詐欺取財罪
行所犯上開三人以上共同詐欺取財罪,1,,行所犯上開三人以上共同詐欺取財罪
附表編號1「罪,1,是,附表編號1「罪
附表編號2、3「罪,1,是,附表編號2、3「罪
罪集團組織（YEEJUNHOU、洪弼軒2人所犯參與犯罪,1,是,罪集團組織（YEEJUNHOU、洪弼軒2人所犯參與犯罪
行均係犯行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪,1,,行均係犯行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪
